"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"The difference between you having no money and having lots of it is all based on how many people you talk to in a day. •Connections •Cold calls •Comments •Consulting call","45","15","144","9","2714","2026-06-12T02:02:57.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065253491434574217"
"Works solves everything: Love needs work. Stability needs work. Relationships need work. Apologizing needs work. Even your faith needs work.","56","10","101","8","3395","2026-06-11T21:28:18.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065184374245478696"
"Don’t post to go viral. Post to build a loyal community.","69","10","133","1","2351","2026-06-11T21:15:51.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065181240089518160"
"Excellence isn't about your best day. It’s about the 1,000 boring decisions: - same habits - same energy - same focus while everyone else: - got tired - got bored - got distracted consistentcy is boring until it works.","45","7","82","3","1551","2026-06-11T20:29:06.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065169474798461099"
"The real entrepreneurial diet: 10% protein 90% caffeine Sounds tough but I get it now!","38","5","70","5","3980","2026-06-11T19:37:02.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065156370551185468"
"Bruce Lee said: Don’t speak negatively about yourself, not even as a joke Your body doesn’t know the difference Words are energy and cast a spell, that’s why it’s called spelling Change the way you speak about yourself and you can change your life The choice is yours.","43","12","117","5","1892","2026-06-11T18:42:45.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065142709367533978"
"Would you rather be: •Financially Wealthy •Physically Wealthy •Spiritually Wealthy •Mentally Wealthy Can't just pick one right? Then you are on the right path.","47","10","98","8","2162","2026-06-11T17:52:29.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065130062202995051"
"Pro tip: Sell to wealthy people. They ask no questions. They pay better.","138","101","862","93","17828","2026-06-11T12:41:15.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065051737984024577"
"You've grown once you realize that: $1 Million is the new $100k","51","6","129","6","3635","2026-06-11T12:08:57.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065043609842335786"
"You’re just 3-5 high-ticket clients from $10k/mo. • Build one strong offer • Send daily value emails • Post daily content A few months of focused grind gets you there.","23","3","54","6","2507","2026-06-11T10:12:34.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065014318098235723"
"Over-thinkers get luckier in life once they notice they didn’t lack intelligence, but the strength to act.","43","5","85","6","1534","2026-06-11T09:22:59.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065001840337371378"
"Making money is a skill. Even if I lost all my money today, I’d still be able to make it back because of the skills I’ve acquired Focus on mastering high-income skills and you’ll never be broke.","64","11","127","8","2319","2026-06-11T08:23:29.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064986869616542109"
"You don’t need 10,000 followers to close clients. You need 10 people who trust you enough to buy. Reach isn’t enough. I know people with 100k+ followers who haven’t made a penny. Instead: Start building relationships. One conversation beats a thousand views.","57","7","97","3","2108","2026-06-11T06:34:51.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064959531231191212"
"Most business owners don’t have a sales problem. They have a trust problem. People aren’t buying because they don’t believe you yet. Fix the trust first. Which is often delivered through testimonials or free value. The sales follow after.","76","7","103","4","3036","2026-06-11T06:06:07.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064952297860284713"
"Master DMs and get your first client: https:// stan.store/KevinSzabo14/p /client-closing-blueprint …￼","1","0","3","0","215","2026-06-11T03:50:16.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064918111799660612"
"Send so many DMs that it becomes mathematically impossible not to make a living - If not rich. In the 2 years that I’ve been on X. I can confidently say I’ve sent at least 10,000 DMs. Possibly 15,000+ At 1% that’s 100 clients/sales. Don’t complicate it, so the work.","34","8","91","5","2248","2026-06-11T03:49:24.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064917894148820998"
"One of the worst spending habits nobody talks about is: Buying things just to feel productive instead of doing the work. You’re convinced you need a new phone. A new notebook won’t write down your goals. A new app won’t build your business. But action is free and the answer.","54","7","89","4","1223","2026-06-11T02:51:52.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064903413247230167"
"The rat race is a choice, not suppression.","14","4","58","1","1026","2026-06-11T01:17:56.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064879776125366367"
"School taught us to believe that failure is bad. But in reality, Failure is why I have succeeded. You need to change your perspective.","69","12","131","4","2722","2026-06-10T21:56:03.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064828970210664889"
"Drop your ego. Your fear of looking like a beginner online is killing you. Little do they know that being a beginner is their biggest asset. Because this is when you’re allowed to mess up. This is when you’re allowed to try new things. Because once you’re at the top. You","38","13","77","4","2735","2026-06-10T18:59:06.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064784439033384961"
"Lack of money isn’t the problem with being broke. Lack of options are.","40","10","106","1","1920","2026-06-10T16:25:24.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064745757232541916"
"The best time to use AI was last year. The second best time is right now. Your customers aren’t waiting. Your competitors definitely aren’t waiting. Learn by starting.","15","3","30","2","836","2026-06-10T16:22:35.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064745049808626104"
"Business is 95.67% about the people. Talk to more people!","40","14","101","4","1839","2026-06-10T16:05:36.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064740776496550058"
"When my mind says “this won’t work,” I do it immediately. Tweet feels like it’ll bomb? Hit post Price seems too high? Send the offer anyway Video seems cringe? Send it anyway Smash every limiting story you tell yourself Get comfortable being uncomfortable.","34","5","74","3","1334","2026-06-10T15:45:31.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064735720959308137"
"Scripts, Guides, implementation. Master DMs and get your first client: https:// stan.store/KevinSzabo14/p /client-closing-blueprint …￼","0","0","2","0","316","2026-06-10T14:53:55.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064722735058608197"
