"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"Why does LinkedIn have no real competitors?","97","4","95","7","14720","2026-06-22T06:08:21.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068939127609819288"
"Want a stronger network? 1) be useful 2) be curious 3) be memorable 4) follow up network compounds faster than clout","26","3","64","1","2076","2026-06-22T01:00:22.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068861618201530408"
"Tell me one thing you can do that CLAUDE cannot do yet","661","37","404","45","128065","2026-06-21T21:44:07.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068812231924470130"
"what's actually winning on pricing for startups in 2026? 1. subscription 2. usage-based 3. one-time deal","26","1","34","2","2158","2026-06-21T19:00:06.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068770955468439842"
"Numbers going up!","39","1","81","3","2558","2026-06-21T16:35:08.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068734473030541412"
"7300 followers in 82 days 10k by day 100 is looking very close!","107","1","150","7","5245","2026-06-21T14:14:07.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068698987222155360"
"I will start","5","1","10","1","1012","2026-06-21T12:10:07.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068667780178596204"
"Hey founders ! Looking to connect with people building in: SaaS Tech Automation AI tools Product Development Web APP Devs Drop what you're working on","117","3","103","9","5924","2026-06-21T12:08:06.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068667272197996811"
"climbx month 1 revenue is in. month 2 is the real test. at what churn rate does growth start lying?","39","1","88","1","3387","2026-06-21T09:32:13.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068628042721726669"
"Which is best? .ai .com","203","2","121","2","14788","2026-06-21T06:09:11.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068576948041687270"
"New high scores all around today!! 245k non-viral impressions. 903 replies. 600 followers in a single day. $828.77 - my first and highest X payout. What a crazy day","124","8","191","10","5860","2026-06-20T23:34:12.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068477548594360703"
"prove me you're not an ai","389","15","208","11","25968","2026-06-20T20:08:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068425843370516953"
"what's your best founder trait? mine is ignoring sleep like it's optional","52","3","61","0","5162","2026-06-20T19:02:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068409233528267020"
"Anyone else noticed it’s not FAANG anymore? It’s MANGO!","45","7","84","5","5272","2026-06-20T17:45:46.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068389859740230124"
"7k followers in 81 days 0 → 1k in 33 days 1k → 2k in 7 days 2k → 3k in 8 days 3k → 4k in 9 days 4k → 5k in 9 days 5k → 6k in 9 days 6k → 7k in 6 days + todays X payout: $828.77","149","8","224","16","7918","2026-06-20T14:53:24.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068346482885853683"
"How I got my first X payout: $828.77 in 81 days No magic formula. Just consistent work, broken down: -- Step 1 - build the base -- 0 → 1k followers in 33 days A few posts a day + tons (50-100) of replies ~2 hrs/day -- Step 2 - lock in -- 8 posts + 400 replies a day 90%","212","41","441","228","25512","2026-06-20T12:36:26.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068312015785824611"
"Which is most useful in 2026?","77","6","91","4","6770","2026-06-20T09:33:24.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068265955222823151"
"Can someone explain (as simply as possible) why Fable 5 got banned? Wasn’t the whole point that Fable had guardrails Mythos didn’t? I’m probably missing something","12","0","22","0","4497","2026-06-20T06:30:22.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068219893619609995"
"First X payout: $828.77 Took me 81 days to get here from never using X before.","716","94","1234","113","62143","2026-06-20T00:00:26.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068121760931701233"
"Another gpt-5.6 rumor A few people say openai could drop it on june 23 • Roughly 3x cheaper than fable • 1.5m token context • Stronger agentic coding • Aimed straight at claude-style tools If that leak is true... Is this the start of Openai pressure-testing Fable like","24","9","113","8","11058","2026-06-19T21:45:24.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068087780769517748"
"Why are you building a startup?","177","10","118","6","15426","2026-06-19T19:07:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068048105417678984"
"Name a founder, who inspires you!","186","11","116","10","16736","2026-06-19T16:45:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2068012368995484101"
"78 days ago i started posting on x with zero plan to build anything. just posting. replying. figuring out what actually works. 0 to 6.5k followers. then people kept asking how i was doing it. so i built the tool i was already running by hand: ClimbX month 1: 365 signups 29","48","2","112","24","6852","2026-06-19T14:00:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2067970818202574924"
"Build-in-public has introduced me to many amazing people! Looking to meet more. What are you building?","286","9","214","30","14542","2026-06-19T12:00:33.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2067940596325527845"
"what actually makes a startup impossible to copy?","153","8","105","26","18180","2026-06-19T09:30:30.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2067902835207860665"
"Unpopular opinion: Vibe coding is actually hard work too.","127","26","237","8","13349","2026-06-19T06:30:30.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2067857537936810050"
"genuine question: AI was supposed to save us time so why does building now feel like an endless race to keep up?","126","4","125","5","8503","2026-06-19T01:00:30.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2067774492076569041"
